#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BCL10	TNFRSF1A	9606.ENSP00000359612	9606.ENSP00000162749	0	0	0	0	0.061	0.379	0	0.426	0.636
BCL10	TAB1	9606.ENSP00000359612	9606.ENSP00000216160	0	0	0	0	0.061	0	0.900	0.332	0.931
BCL10	NFKBIA	9606.ENSP00000359612	9606.ENSP00000216797	0	0	0	0	0.062	0.336	0.900	0.420	0.959
BCL10	RELB	9606.ENSP00000359612	9606.ENSP00000221452	0	0	0	0	0.062	0	0	0.592	0.601
BCL10	NFKB1	9606.ENSP00000359612	9606.ENSP00000226574	0	0	0	0	0.064	0.064	0.900	0.399	0.940
BCL10	TRAF2	9606.ENSP00000359612	9606.ENSP00000247668	0	0	0	0	0	0.436	0	0.278	0.576
BCL10	RIPK1	9606.ENSP00000359612	9606.ENSP00000259808	0	0	0	0	0.059	0.261	0	0.397	0.544
BCL10	PRKCQ	9606.ENSP00000359612	9606.ENSP00000263125	0	0	0	0	0	0.860	0.900	0.623	0.994
BCL10	BIRC3	9606.ENSP00000359612	9606.ENSP00000263464	0	0	0	0	0.080	0.436	0	0.669	0.813
BCL10	ZAP70	9606.ENSP00000359612	9606.ENSP00000264972	0	0	0	0	0	0.061	0	0.519	0.529
BCL10	PRKCB	9606.ENSP00000359612	9606.ENSP00000305355	0	0	0	0	0	0	0.900	0.311	0.928
BCL10	MALT1	9606.ENSP00000359612	9606.ENSP00000319279	0	0	0	0	0.052	0.472	0.900	0.984	0.999
BCL10	LCK	9606.ENSP00000359612	9606.ENSP00000337825	0	0	0	0	0	0.061	0	0.453	0.464
BCL10	TRADD	9606.ENSP00000359612	9606.ENSP00000341268	0	0	0	0	0	0.379	0	0.641	0.767
BCL10	TAB2	9606.ENSP00000359612	9606.ENSP00000356426	0	0	0	0	0	0	0.900	0.424	0.940
BCL10	MAP3K7	9606.ENSP00000359612	9606.ENSP00000358335	0	0	0	0	0	0.468	0.900	0.325	0.961
BCL10	NFKB2	9606.ENSP00000359612	9606.ENSP00000358983	0	0	0	0	0.062	0.064	0	0.492	0.515
BCL10	IRAK1	9606.ENSP00000359612	9606.ENSP00000358997	0	0	0	0	0.046	0.468	0	0.454	0.698
BCL10	CHUK	9606.ENSP00000359612	9606.ENSP00000359424	0	0	0	0	0.062	0.355	0.900	0.421	0.960
BCL10	TNFSF13B	9606.ENSP00000359612	9606.ENSP00000365048	0	0	0	0	0	0	0	0.419	0.418
BCL10	CD40	9606.ENSP00000359612	9606.ENSP00000361359	0	0	0	0	0	0	0	0.426	0.426
BCL10	DDX58	9606.ENSP00000359612	9606.ENSP00000369213	0	0	0	0	0	0	0	0.455	0.455
BCL10	TNF	9606.ENSP00000359612	9606.ENSP00000398698	0	0	0	0	0.059	0	0	0.460	0.470
BCL10	IRAK4	9606.ENSP00000359612	9606.ENSP00000390651	0	0	0	0	0.061	0.144	0	0.396	0.472
BCL10	TNFAIP3	9606.ENSP00000359612	9606.ENSP00000481570	0	0	0	0	0.062	0	0	0.473	0.484
BCL10	MYD88	9606.ENSP00000359612	9606.ENSP00000401399	0	0	0	0	0.062	0	0	0.484	0.495
BCL10	BTK	9606.ENSP00000359612	9606.ENSP00000483570	0	0	0	0	0	0.061	0	0.486	0.496
BCL10	TRAF3	9606.ENSP00000359612	9606.ENSP00000454207	0	0	0	0	0	0.078	0	0.483	0.503
BCL10	CYLD	9606.ENSP00000359612	9606.ENSP00000392025	0	0	0	0	0	0	0	0.553	0.553
BCL10	TRAF1	9606.ENSP00000359612	9606.ENSP00000362994	0	0	0	0	0	0.126	0	0.617	0.651
BCL10	BIRC2	9606.ENSP00000359612	9606.ENSP00000477613	0	0	0	0	0.053	0.436	0	0.428	0.668
BCL10	SYK	9606.ENSP00000359612	9606.ENSP00000364907	0	0	0	0	0.061	0.061	0	0.674	0.688
BCL10	TLR4	9606.ENSP00000359612	9606.ENSP00000363089	0	0	0	0	0.061	0.468	0	0.473	0.713
BCL10	TAB3	9606.ENSP00000359612	9606.ENSP00000368215	0	0	0	0	0	0	0.900	0.303	0.927
BCL10	CARD14	9606.ENSP00000359612	9606.ENSP00000458715	0	0	0	0	0	0.472	0	0.927	0.960
BCL10	RELA	9606.ENSP00000359612	9606.ENSP00000384273	0	0	0	0	0.062	0.294	0.900	0.541	0.965
BCL10	CARD10	9606.ENSP00000359612	9606.ENSP00000384570	0	0	0	0	0	0.472	0.900	0.826	0.990
BCL10	IKBKB	9606.ENSP00000359612	9606.ENSP00000430684	0	0	0	0	0.061	0.391	0.900	0.904	0.993
BCL10	IKBKG	9606.ENSP00000359612	9606.ENSP00000483825	0	0	0	0	0	0.866	0.900	0.651	0.994
BCL10	CARD11	9606.ENSP00000359612	9606.ENSP00000380150	0	0	0	0	0	0.576	0.900	0.979	0.999
BCL2	BCL2A1	9606.ENSP00000381185	9606.ENSP00000267953	0	0	0	0.701	0.070	0	0.900	0.398	0.913
BCL2	BCL2L1	9606.ENSP00000381185	9606.ENSP00000302564	0	0	0	0.898	0	0.912	0.900	0.633	0.991
